obligor_id,rating,sector,region,ead,maturity,secured,pd,lgd,expected_loss,capital_rate,irb_capital,rwa
OBL00001,BBB,industrials,west,4314492.715899549,2.766197218744151,0,0.005,0.55,11864.854968723763,0.07109218795824596,306726.72710321384,3834084.088790173
OBL00002,BB,financials,south,2427711.8200071054,1.574288240629976,0,0.0135,0.55,18025.76026355276,0.08829318126639141,214350.39978644834,2679379.997330604
OBL00003,CCC,real_estate,south,2388710.562902192,1.3480701816034926,0,0.15,0.5,179153.2922176644,0.1856943544838287,443570.0660268257,5544625.825335321
OBL00004,B,energy,north,1580522.8405359837,2.677526795816016,1,0.054,0.39999999999999997,34139.29335557725,0.1108855369947619,175257.123905319,2190714.048816487
OBL00005,BB,energy,south,1808899.7092317173,1.5924250486098117,0,0.018,0.6000000000000001,19536.116859702546,0.1065238545199323,192690.9694673473,2408637.1183418413
OBL00006,CCC,financials,north,379304.18775433203,3.106010947180611,1,0.108,0.35,14337.698297113751,0.1279021010636997,48513.8025560391,606422.5319504888
OBL00007,B,real_estate,north,5954464.057424791,1.3427439987526446,0,0.056249999999999994,0.5,167469.30161507224,0.126435734387321,752857.0359834107,9410712.949792633
OBL00008,BB,consumer,south,1639048.6909139596,3.857245675340164,0,0.01575,0.55,14198.259285042175,0.12180343987206312,199641.76867112223,2495522.108389028
OBL00009,BBB,energy,north,311904.96028921055,3.7906926687811304,1,0.006,0.39999999999999997,748.5719046941052,0.06467083911567147,20171.155506243435,252139.44382804295
OBL00010,BBB,real_estate,west,1087285.114898727,4.6586611308402865,1,0.00625,0.3,2038.6595904351132,0.05485217193057711,59639.95005998226,745499.3757497782
OBL00011,BB,real_estate,south,93840.83511183284,2.7889928567129374,0,0.01875,0.5,879.7578291734329,0.10352293735158975,9714.678894303135,121433.48617878919
OBL00012,BBB,industrials,north,2059021.8617427892,1.799832767605602,1,0.005,0.35,3603.288258049881,0.03824674152823714,78750.87694706609,984385.9618383262
OBL00013,CCC,financials,east,4222548.717239614,2.8254328932574575,1,0.108,0.35,159612.3415116574,0.12589767998712012,531609.0871330574,6645113.589163218
OBL00014,A,industrials,east,6659608.307139119,3.196568262212181,0,0.002,0.55,7325.569137853032,0.04921637913723535,327761.807349641,4097022.5918705123
OBL00015,CCC,financials,south,2878584.075983259,2.3359465161761803,0,0.108,0.55,170987.89411340558,0.19234417572894555,553678.8813614683,6920986.0170183545
OBL00016,BBB,industrials,west,7722381.410324598,2.1814279265112373,0,0.005,0.55,21236.548878392645,0.06444178672860634,497644.055881092,6220550.698513649
OBL00017,A,financials,north,1242938.1078507695,1.1703588154533073,1,0.0018000000000000002,0.35,783.0510079459848,0.018376062702013512,22840.308604587775,285503.8575573472
OBL00018,BBB,financials,west,2648381.9301400753,3.1855645383414357,0,0.0045000000000000005,0.55,6554.745277096688,0.07248109982163509,191957.6350442974,2399470.4380537174
